@relation clean_data_v2

@attribute WIND numeric
@attribute IND numeric
@attribute RAIN numeric
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric
@attribute MONTH numeric

@data
4.25,4,0,4,13.339123,4,6.411678,-4.5,2
13.46,4,0,4,13.339123,4,6.411678,4.6,2
15.92,0,1.1,4,13.339123,4,6.411678,3.2,2
11.83,0,0.4,4,13.339123,4,6.411678,0.8,2
10,0,0.1,4,13.339123,4,6.411678,1.7,2
7.41,0,1.5,4,13.339123,4,6.411678,2.6,2
12.42,0,1,4,13.339123,4,6.411678,-0.5,2
4.79,0,0,4,13.339123,4,6.411678,-7.7,2
10.83,0,0.4,4,13.339123,4,6.411678,-5.8,2
8.46,0,0.1,4,13.339123,4,6.411678,-1.2,2
11,0,1.1,4,13.339123,4,6.411678,-5.5,2
17.33,0,3.1,4,13.339123,4,6.411678,-5.5,3
8.79,0,0.4,4,13.339123,4,6.411678,-8.8,3
14.83,0,6.3,4,13.339123,4,6.411678,-5.5,3
22.46,0,0,4,13.339123,4,6.411678,-0.3,3
11.54,0,0,4,13.339123,4,6.411678,-3.4,3
8.46,0,0,4,13.339123,4,6.411678,-7.7,3
10.63,0,0,4,13.339123,4,6.411678,-7,3
8.46,0,0,4,13.339123,4,6.411678,-5.5,3
9.33,0,0,4,13.339123,4,6.411678,-8.1,3
18.34,0,0,4,13.339123,4,6.411678,0.7,3
12.42,0,0.4,4,13.339123,4,6.411678,-2.5,3
13.17,0,0.6,4,13.339123,4,6.411678,4.4,3
8.58,4,0,4,13.339123,4,6.411678,-0.3,3
9.21,0,0,4,13.339123,4,6.411678,3.5,3
15.92,0,2.4,4,13.339123,4,6.411678,4.8,3
20.3,0,1.3,4,13.339123,4,6.411678,4.4,3
6.63,0,0.6,4,13.339123,4,6.411678,2.1,3
12.96,0,0.7,4,13.339123,4,6.411678,-0.7,3
7.12,0,3.2,4,13.339123,4,6.411678,-1.6,3
12.58,0,6.6,4,13.339123,4,6.411678,2.3,3
12.08,0,5,4,13.339123,4,6.411678,4,3
8.38,0,4.5,4,13.339123,4,6.411678,3.8,3
10.5,0,1,4,13.339123,4,6.411678,6.1,3
14.04,0,2.7,4,13.339123,4,6.411678,2.2,3
17.12,0,6.8,4,13.339123,4,6.411678,0,3
14.04,0,0.6,4,13.339123,4,6.411678,2.6,3
16.66,4,0,4,13.339123,4,6.411678,8.3,3
7.41,0,0,4,13.339123,4,6.411678,-1.1,3
5.71,0,0,4,13.339123,4,6.411678,-5.2,3
10.83,0,0,4,13.339123,4,6.411678,-3.2,3
10.67,0,0,4,13.339123,4,6.411678,-0.5,3
8.67,0,0,0,11.1,0,6.1,-2.2,4
8.12,0,0,0,16.7,0,1.8,-3.2,4
8.71,0,0,0,15,0,0,-4.3,4
11.34,0,1,0,13.8,0,7.2,4.4,4
4.88,0,1.4,0,10.7,0,6.4,2.7,4
9.17,0,1,0,11.7,0,0.6,-3.3,4
8.08,0,0.2,0,11.8,0,1.9,-2.2,4
9.92,0,0.6,0,13.9,2,7,4.6,4
12.17,0,10.2,0,13.9,0,2.9,-1.7,4
18,0,0.9,0,12.2,0,6.6,6.8,4
19.55,0,3.9,0,9.4,0,3.7,1.7,4
18.66,0,0.6,0,12.1,0,4.4,1.9,4
10.37,0,4.3,0,12.9,0,3.4,-0.1,4
12.46,0,1.3,0,14.6,0,7.4,6.7,4
15.34,0,0.1,0,14.4,0,10.6,9.7,4
16.21,0,0.8,0,14.4,0,7.7,5.3,4
21.87,0,0.8,0,12.3,0,3.9,0.6,4
20.38,0,0.1,0,11.7,0,0.7,-0.8,4
8.04,0,0,0,8.9,0,1.7,-1.9,4
7.5,4,0,0,10.1,1,-1.7,-6.1,4
4.79,0,2,0,12.1,0,3.4,-2.9,4
8.67,0,0.2,0,12.8,0,4,1.8,4
8.08,0,5.2,4,13.339123,0,3.2,-2,4
10.88,0,0.3,4,13.339123,4,6.411678,2.736547,4
21.5,0,2.8,0,12.3,0,5.4,2.2,4
12.21,0,2.7,0,11.8,0,5.4,2.8,4
8.33,0,0.3,0,10.3,0,5.4,4.6,4
6.92,0,0,0,10.7,0,6.2,3.4,4
10.25,0,0,0,12.2,0,7.2,3.3,4
12.12,0,1.2,4,13.339123,4,6.411678,7.4,5
14,0,1.4,4,13.339123,4,6.411678,7.8,5
7.46,0,3,4,13.339123,4,6.411678,2.1,5
11,0,3.6,4,13.339123,4,6.411678,4.7,5
15.25,0,1.2,4,13.339123,4,6.411678,6.6,5
7.08,0,4.5,4,13.339123,4,6.411678,-1.1,5
11.58,0,1.4,4,13.339123,4,6.411678,7.1,5
17.46,0,6.4,4,13.339123,4,6.411678,8.3,5
15.25,4,0,4,13.339123,4,6.411678,5.6,5
4.79,0,0,4,13.339123,4,6.411678,2.7,5
3.79,0,0,4,13.339123,4,6.411678,10.1,5
8.46,0,0,4,13.339123,4,6.411678,6.2,5
7.41,0,0,4,13.339123,4,6.411678,5.1,5
3.37,0,0,4,13.339123,4,6.411678,4.1,5
3.25,0,1.8,4,13.339123,4,6.411678,4.1,5
5.88,0,1,4,13.339123,4,6.411678,8.3,5
6.83,0,10.8,4,13.339123,4,6.411678,8.8,5
9.87,0,0.2,4,13.339123,4,6.411678,1.1,5
4.08,0,0,4,13.339123,4,6.411678,-5,5
7.17,0,6.2,4,13.339123,4,6.411678,-3.3,5
12.62,0,4.1,4,13.339123,4,6.411678,7.7,5
10.21,0,1.7,4,13.339123,4,6.411678,8.7,5
12.83,0,0.6,4,13.339123,4,6.411678,7.3,5
8.96,0,4.8,4,13.339123,4,6.411678,6.1,5
7.87,4,0,4,13.339123,4,6.411678,6.3,5
9.54,0,0.1,4,13.339123,4,6.411678,7.6,5
12.38,4,0,4,13.339123,4,6.411678,4.2,5
9.13,0,0,4,13.339123,4,6.411678,7.8,5
8.5,4,0,4,13.339123,4,6.411678,4.4,5
9.17,0,0,4,13.339123,4,6.411678,-1.6,5
7.33,0,0,4,13.339123,4,6.411678,7.6,5
4.17,4,0,0,14.3,0,7.8,5,6
1.83,0,0,0,16,0,2.2,-1.1,6
3.79,4,0,0,18.8,0,4.8,3.7,6
6.5,0,17.6,0,17.1,0,6.8,3.4,6
3.46,0,1.5,0,15.4,0,10.6,10,6
4.58,0,1.3,0,15.1,0,8.4,5.7,6
2.5,0,0,0,16.9,0,7.6,4.4,6
4.42,0,0.3,0,18.6,0,6.3,2.736547,6
3.54,0,0,0,19,0,10.8,9.9,6
4.42,0,1.3,0,19.6,0,6.8,3.9,6
6.29,0,5,0,18.2,0,12.1,11.7,6
5.46,0,0.2,0,20.6,0,11.6,9.4,6
8.5,4,0,0,18.3,0,10.1,6.8,6
7.17,0,8.6,0,21.2,0,9,6.2,6
15.67,0,0.2,0,20.6,0,12.9,12.2,6
11.17,0,3.3,0,18.8,0,11.2,9.4,6
13.42,0,5.5,0,19,0,9.4,6.7,6
13.83,0,0.3,0,19.2,0,10.7,8.3,6
13.46,0,10,0,20.9,0,12.1,11.7,6
5.17,0,16.4,0,20.1,2,10.6,2.736547,6
10.92,0,2.2,0,19,0,10.2,10.1,6
21.04,0,1.4,0,19,0,12.4,10.7,6
16.92,0,1.2,0,17.9,0,11.1,9.4,6
15.12,0,1,0,18.3,0,14.1,13.4,6
17,0,1.1,0,17.8,0,9.9,7.2,6
8.83,4,0,0,17.1,0,9,4.4,6
11.63,0,0.1,0,19.7,0,9.4,6.7,6
4.12,0,0.2,0,19.8,0,13.8,13.7,6
8.5,4,0,0,19.1,0,13.8,12.1,6
8.54,4,0,4,13.339123,4,6.411678,5.1,7
10.17,0,0,4,13.339123,4,6.411678,10.6,7
9.38,0,0,4,13.339123,4,6.411678,4,7
7.79,0,0,4,13.339123,4,6.411678,1.7,7
9.92,0,0.3,4,13.339123,4,6.411678,8.2,7
4.88,0,1.9,4,13.339123,4,6.411678,12.2,7
7.75,0,0,4,13.339123,4,6.411678,5,7
9.42,0,0.7,4,13.339123,4,6.411678,5.1,7
7.04,0,0.3,4,13.339123,4,6.411678,4.3,7
8.04,0,0.4,4,13.339123,4,6.411678,9.8,7
10.08,0,0.2,4,13.339123,4,6.411678,10.8,7
5.71,0,8.2,4,13.339123,4,6.411678,3.8,7
4.5,0,6.1,4,13.339123,4,6.411678,12.3,7
5.96,0,0.2,4,13.339123,4,6.411678,12.8,7
8.04,4,0,4,13.339123,4,6.411678,12.1,7
5.41,4,0,4,13.339123,4,6.411678,4.2,7
4.88,0,0,4,13.339123,4,6.411678,5.8,7
10.46,0,18.1,4,13.339123,4,6.411678,7.7,7
8.83,0,0,4,13.339123,4,6.411678,11.3,7
4.79,0,1.6,4,13.339123,4,6.411678,7.7,7
7.21,0,9.5,4,13.339123,4,6.411678,10.5,7
4.79,0,12.5,4,13.339123,4,6.411678,6.6,7
6.96,0,4.1,4,13.339123,4,6.411678,7.6,7
10.96,0,8.5,4,13.339123,4,6.411678,11.2,7
7.79,0,0.1,4,13.339123,4,6.411678,12.8,7
10.67,4,0,4,13.339123,4,6.411678,8.4,7
12.96,0,2.3,4,13.339123,4,6.411678,11.1,7
14.09,0,5.1,4,13.339123,4,6.411678,12.8,7
18.71,0,0.2,4,13.339123,4,6.411678,12.3,7
5.33,0,0.1,4,13.339123,4,6.411678,9.4,7
13.29,0,0.9,4,13.339123,4,6.411678,2.8,7
9.92,0,6.2,4,13.339123,4,6.411678,5.5,8
7.71,0,6.7,4,13.339123,4,6.411678,10.6,8
5.63,0,15.7,4,13.339123,4,6.411678,5.6,8
11.92,0,0.2,4,13.339123,4,6.411678,12.5,8
17.54,0,0,4,13.339123,4,6.411678,10.7,8
12.33,0,2.8,4,13.339123,4,6.411678,7.7,8
8.63,0,0.2,4,13.339123,4,6.411678,6,8
3.58,0,0,4,13.339123,4,6.411678,6,8
6.54,0,0.2,4,13.339123,4,6.411678,6.1,8
9.75,0,0,4,13.339123,4,6.411678,10.7,8
11.08,0,0,4,13.339123,4,6.411678,12.4,8
11.17,0,0,4,13.339123,4,6.411678,14.4,8
6.5,0,0,4,13.339123,4,6.411678,14.7,8
7.12,0,0.2,4,13.339123,4,6.411678,12.7,8
7.21,0,0,4,13.339123,4,6.411678,11.6,8
7.87,0,0,4,13.339123,4,6.411678,10,8
12.67,0,0,4,13.339123,4,6.411678,12.8,8
10.96,0,1.4,4,13.339123,4,6.411678,9,8
14.17,0,4.6,4,13.339123,4,6.411678,6.1,8
14.88,0,2.2,4,13.339123,4,6.411678,11,8
16.83,0,0.8,4,13.339123,4,6.411678,8.8,8
16.42,0,4.7,4,13.339123,4,6.411678,11.1,8
15.71,0,0.4,4,13.339123,4,6.411678,7.3,8
7.79,0,0.6,4,13.339123,4,6.411678,10.3,8
8.58,0,1.3,4,13.339123,4,6.411678,2,8
16.92,0,0,4,13.339123,4,6.411678,12.2,8
15.25,4,0,4,13.339123,4,6.411678,8.1,8
11.87,0,1.8,4,13.339123,4,6.411678,7.1,8
9.87,0,3,4,13.339123,4,6.411678,6.1,8
7.75,0,0,4,13.339123,4,6.411678,1.6,9
3.29,0,0,4,13.339123,4,6.411678,1.5,9
10.63,0,0.8,4,13.339123,4,6.411678,2.2,9
13.54,0,2,4,13.339123,4,6.411678,5,9
11.29,0,0.5,4,13.339123,4,6.411678,9.6,9
3.96,0,0.2,4,13.339123,4,6.411678,6.4,9
5.33,4,0,4,13.339123,4,6.411678,3,9
7.29,0,1.4,4,13.339123,4,6.411678,2.736547,9
16.33,0,1.4,4,13.339123,4,6.411678,2.736547,9
14.21,0,1,4,13.339123,4,6.411678,2.736547,9
10.92,0,0.2,4,13.339123,4,6.411678,9.7,9
3.42,0,1.2,4,13.339123,4,6.411678,7.8,9
2.71,0,1.2,4,13.339123,4,6.411678,10,9
4.25,0,0.3,4,13.339123,4,6.411678,3.8,9
6.42,0,2.5,4,13.339123,4,6.411678,13.2,9
9.54,0,2,4,13.339123,4,6.411678,7.2,9
12.71,0,25.1,4,13.339123,4,6.411678,6.3,9
13.04,0,0.6,4,13.339123,4,6.411678,7.6,9
9.25,4,0,4,13.339123,4,6.411678,0,9
9.54,0,0,4,13.339123,4,6.411678,8.2,9
12.21,4,0,4,13.339123,4,6.411678,6.6,9
8.25,4,0,4,13.339123,4,6.411678,12.1,9
4.21,0,2.6,4,13.339123,4,6.411678,7.5,9
5.96,0,25.3,4,13.339123,4,6.411678,2.7,9
4.29,4,0,4,13.339123,4,6.411678,10,9
3.42,0,11,4,13.339123,4,6.411678,9.4,9
5.37,0,0,4,13.339123,4,6.411678,0.6,9
2.5,0,0,4,13.339123,4,6.411678,-2,9
11.63,0,0.1,4,13.339123,4,6.411678,7.7,9
15.63,4,0,4,13.339123,4,6.411678,9.8,9
8,0,11.5,4,13.339123,4,6.411678,6.2,10
4.67,0,1.5,4,13.339123,4,6.411678,8.7,10
9.79,0,4.2,4,13.339123,4,6.411678,6.6,10
6.79,0,1.5,4,13.339123,4,6.411678,12.3,10
2.13,0,0.1,4,13.339123,4,6.411678,6.5,10
0.42,0,2.5,4,13.339123,4,6.411678,5.1,10
4.96,0,0.1,4,13.339123,4,6.411678,10.5,10
10.71,4,0,4,13.339123,4,6.411678,12.7,10
11.79,4,0,4,13.339123,4,6.411678,7.8,10
9.04,4,0,4,13.339123,4,6.411678,1.6,10
4,4,0,4,13.339123,4,6.411678,-0.5,10
3,0,0,4,13.339123,4,6.411678,-1.3,10
3.29,4,0,4,13.339123,4,6.411678,8.8,10
6.75,0,2,4,13.339123,4,6.411678,2.7,10
10.08,4,0,4,13.339123,4,6.411678,1.6,10
5.29,4,0,4,13.339123,4,6.411678,0.8,10
4.96,0,0.3,4,13.339123,4,6.411678,1.4,10
5.33,0,0,4,13.339123,4,6.411678,8,10
9.21,0,0,4,13.339123,4,6.411678,4.2,10
11.87,0,0,4,13.339123,4,6.411678,6.1,10
8.96,0,0,4,13.339123,4,6.411678,9.3,10
7.87,0,0,4,13.339123,4,6.411678,7.5,10
6.83,0,0,4,13.339123,4,6.411678,-1.6,10
7.17,4,0,4,13.339123,4,6.411678,1.8,10
6.08,0,0,4,13.339123,4,6.411678,0.5,10
17,0,1.3,4,13.339123,4,6.411678,10.1,10
20,0,0.2,4,13.339123,4,6.411678,8.8,10
15.12,4,0,4,13.339123,4,6.411678,2.3,10
21.62,0,1.8,4,13.339123,4,6.411678,7.2,10
19.21,0,8.5,4,13.339123,4,6.411678,4.4,10
12.04,0,0,4,13.339123,4,6.411678,0.1,11
11.42,0,0.3,4,13.339123,4,6.411678,-3.8,11
6.04,0,0,4,13.339123,4,6.411678,-2.6,11
4.83,0,0,4,13.339123,4,6.411678,-1,11
16,0,1.3,4,13.339123,4,6.411678,-0.5,11
11.58,0,5.6,4,13.339123,4,6.411678,3.8,11
9.59,0,1.4,4,13.339123,4,6.411678,1.6,11
9.38,0,0.9,4,13.339123,4,6.411678,7.7,11
6.96,0,0,4,13.339123,4,6.411678,7.5,11
14.83,0,2.3,4,13.339123,4,6.411678,5.5,11
6.75,0,0.7,4,13.339123,4,6.411678,1.5,11
8.5,0,5.6,4,13.339123,4,6.411678,4.4,11
11.63,4,0,4,13.339123,4,6.411678,0.5,11
11.34,0,11.2,4,13.339123,4,6.411678,-6.6,11
15.92,0,19.1,4,13.339123,4,6.411678,4,11
9.75,0,2,4,13.339123,4,6.411678,5.4,11
15.75,0,9,4,13.339123,4,6.411678,3.3,11
10.75,0,5.3,4,13.339123,4,6.411678,-0.1,11
10.67,4,0,4,13.339123,4,6.411678,-6.5,11
20,0,5.8,4,13.339123,4,6.411678,-4.4,11
7.46,0,28,4,13.339123,4,6.411678,-3.4,11
13.75,0,7,4,13.339123,4,6.411678,3.3,11
9.33,0,6.1,4,13.339123,4,6.411678,-4.4,11
16.33,0,0.1,4,13.339123,4,6.411678,-1,11
9.5,0,2.9,4,13.339123,4,6.411678,-3.2,11
20.33,0,0.2,4,13.339123,4,6.411678,-1,11
19.38,0,0,4,13.339123,4,6.411678,-3.3,11
9.96,0,4.5,4,13.339123,4,6.411678,-6.5,12
19.25,0,2.6,4,13.339123,4,6.411678,2.2,12
15.96,0,0.6,4,13.339123,4,6.411678,0.8,12
6.46,0,3.5,4,13.339123,4,6.411678,-3.8,12
18.63,0,0.1,4,13.339123,4,6.411678,-1.1,12
11,0,1.8,4,13.339123,4,6.411678,-2.2,12
13.46,0,9.2,4,13.339123,4,6.411678,-1.2,12
14.29,0,1,4,13.339123,4,6.411678,1.1,12
11.54,0,4.2,4,13.339123,4,6.411678,-0.7,12
8.92,0,13,4,13.339123,4,6.411678,-0.5,12
14.29,0,0.8,4,13.339123,4,6.411678,2.2,12
11.63,0,2.1,4,13.339123,4,6.411678,-2.7,12
8.54,0,0,4,13.339123,4,6.411678,7.4,12
8.21,0,3.7,4,13.339123,4,6.411678,-1.5,12
17.92,0,0.8,4,13.339123,4,6.411678,-1.6,12
7.5,0,0.8,4,13.339123,4,6.411678,2.1,12
11.71,4,0,4,13.339123,4,6.411678,0.5,12
8.96,0,0.1,4,13.339123,4,6.411678,-5.5,12
9.42,0,0.1,4,13.339123,4,6.411678,-5.7,12
9.38,0,4.3,4,13.339123,4,6.411678,2.7,12
11.04,0,1,4,13.339123,4,6.411678,2.2,12
7.12,0,1.6,4,13.339123,4,6.411678,3.7,12
7.38,4,0,4,13.339123,4,6.411678,0,12
5.79,0,0.3,4,13.339123,4,6.411678,-7.7,12
6.38,0,0.3,4,13.339123,4,6.411678,-8.3,12
6.58,0,1,4,13.339123,4,6.411678,-2.4,12
12.5,0,1.4,4,13.339123,4,6.411678,-2.8,12
17.41,0,1.7,4,13.339123,4,6.411678,0.1,12
9.59,0,6.4,4,13.339123,4,6.411678,2.2,12
21.79,0,0.8,0,9.1,0,4.4,2,1
17.46,0,0.6,0,8.9,0,4.6,0.6,1
7.83,0,0.9,0,7.2,0,1.2,-1.8,1
15.46,0,5.1,0,12.8,1,-0.9,-3.9,1
12.83,0,2.8,0,12.8,0,6.1,7.1,1
10.96,0,1.6,0,12.9,0,7.9,3.9,1
10.5,0,0,0,12.1,0,8.9,8.3,1
12.5,0,0,0,11.1,0,7,6.1,1
13.37,0,2.3,0,9.4,0,6.3,2.8,1
19.21,0,27.8,0,7.4,0,4.6,3.9,1
19.55,0,0,0,6,0,1.7,-1.3,1
16.46,0,0,0,4.4,0,1.7,1.7,1
12.29,0,0,0,3.9,0,2.8,1,1
10.83,4,0,0,3.7,0,2.6,-2.1,1
6.29,4,0,0,2,1,-2,-4.9,1
4.71,0,3.5,0,1.9,1,-2,-1.1,1
2.79,0,1.8,0,3.7,1,-1.1,-4.1,1
8.5,4,0,0,3.3,0,0,-0.4,1
14.33,4,0,0,3.1,1,-0.6,-1.7,1
12.33,0,0,0,3,1,-0.4,0,1
4.75,0,0,0,4.6,0,1.2,0,1
8.54,0,0.3,0,5.1,0,1.7,0,1
1.13,0,0.5,0,6,0,3.3,0,1
8.08,0,13,0,6.7,0,2.8,0,1
20.46,0,13.9,0,8.3,0,5.2,4.3,1
19.08,0,7.4,0,8.7,0,5.9,5.8,1
12.25,0,11.8,0,12.3,0,6.8,6.7,1
17.46,0,0.2,0,13.3,0,6.7,5.9,1
16.79,0,1,0,13,0,9.4,8.6,1
14.33,4,0,0,11.1,0,7,3.7,1
3.79,0,0.1,0,9.2,1,-0.7,-3.3,1
13.75,0,2.8,0,10.6,0,5,0.6,2
13.54,4,0,0,11.6,0,6.1,4.1,2
10.96,0,4.3,0,13.8,0,6.7,0.4,2
10.96,0,1,0,13.4,0,9.4,8.7,2
19.33,0,2.9,0,12,0,8.8,6.2,2
10.63,0,0.2,0,14,0,6.8,1.6,2
8.04,0,8.8,0,9.6,0,6.1,3.2,2
4.58,0,4.9,0,8.9,0,6.7,6,2
6.13,0,1.6,0,7.3,0,4.9,3.9,2
13.29,0,0,0,4.7,0,2.8,2.8,2
11.42,0,2.9,0,4.6,0,2.4,1.7,2
12.67,0,0.6,2,4.8,0,1.8,2.736547,2
11.63,0,0.2,0,4.4,0,1.7,1.4,2
12.42,0,6.7,0,6.4,0,1.1,-0.6,2
16.46,0,16.8,0,5.7,0,0.6,-0.8,2
10.96,4,0,0,6,0,2.4,0.6,2
13.7,0,4.4,0,5.3,0,1.9,-0.7,2
13.59,0,17,0,7,0,2.1,-0.8,2
10.04,0,1.6,0,11.8,0,3.7,2.9,2
11.92,0,1.4,0,11.7,0,6,4.8,2
8.71,0,9.3,0,10,0,5.1,-0.6,2
13.59,0,7.4,0,8.9,0,5.6,5,2
17.79,0,0.7,0,10.6,0,2.3,-0.6,2
12,0,2.9,0,12.8,0,1.7,-2.8,2
21.84,0,1.5,0,12.8,0,6,0.9,2
22.95,0,0.6,0,11.4,0,7.1,4,2
14.79,0,1.9,0,10.6,0,6,5.6,2
9.38,0,2.7,0,12.2,0,4.6,1.1,3
13.92,0,3.3,0,14,0,5.4,5.4,3
10.46,0,0.3,0,12.7,0,5.9,1,3
9.71,0,0,0,12,0,2.8,-0.6,3
10.29,0,0,0,13.8,0,5.1,2.736547,3
12.17,0,0,0,12.8,0,8.2,4.7,3
16.04,0,0.2,0,12.3,0,8.2,5.1,3
9.04,0,0.1,0,10.6,0,5.8,2,3
16.13,0,0,0,10.8,0,1.8,-1.1,3
22.29,0,0.4,0,12.7,0,4.4,2.736547,3
20.62,0,2.1,0,10.1,0,3.3,1.1,3
11.25,0,0.3,0,11.1,0,1.8,-0.4,3
11.21,4,0,0,13.9,0,5.9,3.1,3
8.63,0,0,0,13.1,0,4.4,2.2,3
8.21,0,0,0,11.2,0,6.1,5,3
6.87,0,0,0,11.1,0,6.7,6.1,3
14.83,0,1.8,0,12.1,0,6.7,5.6,3
7.21,4,0,0,13.1,1,-0.6,-5,3
5.25,4,0,0,15.3,1,-2.8,-7,3
8.87,0,0.2,0,10.4,1,-0.3,-5,3
9.96,0,0.2,0,11.4,0,6.7,5.9,3
13.17,0,0.2,0,11.3,0,4,1.9,3
20.54,0,0,0,10,0,5,4.9,3
20.83,0,1.3,0,8.4,0,0.4,-1.3,3
10.92,0,1.7,0,9.8,1,-2.3,-4.4,3
21.29,0,5.8,0,12.2,0,0.6,2.736547,3
14.54,0,0.2,0,11.3,0,0,-0.6,3
10.92,0,0,0,10.6,0,3.9,-3.7,3
13.59,0,0.2,0,11.6,2,5.5,0.1,3
12.08,0,10.2,0,11.6,0,6.1,3,3
14.42,0,17.5,0,10.8,0,3.6,1.8,4
11.25,0,0,0,10.8,1,-1.1,-2.9,4
10.58,4,0,0,10,1,-1.9,-8.7,4
21.25,0,17.4,0,8.2,0,3.3,1.7,4
17.37,0,5.7,0,10.3,0,3.9,3.1,4
4.88,0,0,0,12.2,0,3.3,3.1,4
9.33,4,0,0,11.1,0,6.7,6.1,4
11.42,0,18.1,0,11,0,7.2,6.7,4
18.63,0,6,0,12.6,0,7.8,7.2,4
10.41,0,1.3,0,12.9,0,6.1,0.6,4
14.21,0,0.2,0,10.2,0,7.1,4,4
17.71,0,0,0,7.8,0,5.7,4.4,4
21.79,0,5.9,0,4,0,2.2,0.8,4
20.62,0,19,0,5.1,0,1.6,0.2,4
10.41,0,13.3,0,5.9,0,1.6,0.3,4
10.71,0,1.3,0,6.1,0,4.2,3.6,4
16.66,0,3.7,0,6.1,0,4.2,3.1,4
11.71,0,9.9,0,7.1,0,4.3,3.3,4
11.96,0,0.2,0,12.8,0,0.4,-2.7,4
7.87,0,8.1,2,13.5,0,1.2,-2.9,4
15.29,0,0.8,0,18.1,0,8,7.3,4
12.96,0,5.2,0,15.6,0,8.8,7.2,4
11.08,0,0.2,0,14.9,0,5.6,2.3,4
9.21,4,0,0,15.3,0,5.4,1.7,4
13.75,0,0.1,0,12.9,0,9.6,6.2,4
20.88,0,0.1,0,14.2,0,9.9,6.7,4
13.54,4,0,0,14.2,0,6.7,3.4,4
13.29,4,0,0,18.1,0,10.1,6.7,4
4.54,4,0,0,13.339123,0,6.411678,2.736547,5
1.96,0,0.5,0,13.339123,0,6.411678,2.736547,5
7.38,0,0.2,0,13.339123,0,6.411678,2.736547,5
15.34,0,0.9,0,13.339123,0,6.411678,2.736547,5
11.34,0,2.5,0,13.339123,0,6.411678,2.736547,5
16,0,1.1,0,13.339123,0,6.411678,2.736547,5
9.38,0,4.4,0,13.339123,0,6.411678,2.736547,5
5.96,0,0.3,0,13.339123,0,6.411678,2.736547,5
12.62,0,0,0,13.339123,0,6.411678,2.736547,5
10.5,0,1.1,0,13.339123,0,6.411678,2.736547,5
6.34,0,2.5,0,13.339123,0,6.411678,2.736547,5
5.79,0,0,0,13.339123,0,6.411678,2.736547,5
11.54,0,0.5,0,13.339123,0,6.411678,2.736547,5
11.79,0,5.3,0,13.339123,0,6.411678,2.736547,5
6.25,0,0,0,13.339123,0,6.411678,2.736547,5
6.75,0,5.8,0,13.339123,0,6.411678,2.736547,5
9.87,0,0.2,0,13.339123,0,6.411678,2.736547,5
9.17,0,0.2,0,13.339123,0,6.411678,2.736547,5
12,0,1.5,0,13.339123,0,6.411678,2.736547,5
9.25,0,0.8,0,13.339123,0,6.411678,2.736547,5
15.96,0,0.6,0,13.339123,0,6.411678,2.736547,5
15.04,0,0.6,0,13.339123,0,6.411678,2.736547,5
10.75,1,4,0,13.339123,0,6.411678,2.736547,5
14.96,4,0,0,13.339123,0,6.411678,2.736547,5
11.38,4,0,0,13.339123,0,6.411678,2.736547,5
8.17,0,0,0,13.339123,0,6.411678,2.736547,5
6.54,0,0,0,13.339123,0,6.411678,2.736547,5
5.66,0,0,0,13.339123,0,6.411678,2.736547,5
2.62,0,0,0,13.339123,0,6.411678,2.736547,5
0.83,0,0,0,13.339123,0,6.411678,2.736547,5
4.54,0,0,0,13.339123,0,6.411678,2.736547,6
4.79,0,0,0,13.339123,0,6.411678,2.736547,6
8.58,0,0.2,0,13.339123,0,6.411678,2.736547,6
16.54,0,1.2,0,13.339123,0,6.411678,2.736547,6
10.41,0,0.7,0,13.339123,0,6.411678,2.736547,6
5.33,0,2,0,13.339123,0,6.411678,2.736547,6
2.5,0,0,0,13.339123,0,6.411678,2.736547,6
5.04,0,2.6,0,13.339123,0,6.411678,2.736547,6
7.96,0,44.9,0,13.339123,0,6.411678,2.736547,6
12.08,0,1,0,13.339123,0,6.411678,2.736547,6
7.04,0,8.1,0,13.339123,0,6.411678,2.736547,6
2.5,0,2.8,0,13.339123,0,6.411678,2.736547,6
2.29,0,7.6,0,13.339123,0,6.411678,2.736547,6
5.17,0,0.7,0,13.339123,0,6.411678,2.736547,6
8.67,0,0.8,0,13.339123,0,6.411678,2.736547,6
10.34,0,0.6,0,13.339123,0,6.411678,2.736547,6
8.63,0,2.1,0,13.339123,0,6.411678,2.736547,6
5.58,0,0.9,0,13.339123,0,6.411678,2.736547,6
6.34,0,23.1,0,13.339123,0,6.411678,2.736547,6
4.21,0,6.9,0,13.339123,0,6.411678,2.736547,6
4.71,0,0,0,13.339123,0,6.411678,2.736547,6
3.63,0,2.2,0,13.339123,0,6.411678,2.736547,6
8.92,0,3.8,0,13.339123,0,6.411678,2.736547,6
14.42,0,1.1,0,13.339123,0,6.411678,2.736547,6
9.71,0,0.9,0,13.339123,0,6.411678,2.736547,6
10.75,0,8.3,0,13.339123,0,6.411678,2.736547,6
17,0,0.2,0,13.339123,0,6.411678,2.736547,6
11.12,0,0,0,13.339123,0,6.411678,2.736547,6
4.46,0,0,0,13.339123,0,6.411678,2.736547,6
6.42,0,1.1,0,13.339123,0,6.411678,2.736547,6
3.71,4,0,0,20.2,0,11.8,9,7
4.83,0,1.3,0,19.8,0,11.2,7,7
2.88,4,0,0,17.5,0,10.5,7.9,7
1.46,0,7.5,0,19.2,0,11.2,8.2,7
